park,county,park_size,lat,long,section,township,range,sp_num,agency,IRC
"Little Torch Hammocks, Florida Keys Wildlife and Environmental Area",Monroe (Keys),7.44,NA,NA,NA,NA,NA,141,Florida Fish and Wildlife Conservation Commission,1
Loggerhead Park,Palm Beach,17.26,26.885,-80.056,NA,NA,NA,127,Palm Beach County,1
Long Key Natural Area & Nature Center,Broward,155,NA,NA,NA,NA,NA,340,Broward County,0.5
Long Key State Park,Monroe (Keys),911.19,24.81694,-80.82,NA,NA,NA,294,"Florida Department of Environmental Protection, Division of Recreation and Parks",1
Loveland Hammock,Miami-Dade,15.06,25.43,-80.549,NA,NA,NA,140,Miami-Dade County,1
Lovers Key State Park,Lee,1616.13,26.39556,-81.88028,NA,NA,NA,45,"Florida Department of Environmental Protection, Division of Recreation and Parks",0.5
Loxahatchee River Natural Area,Palm Beach,367.08,NA,NA,NA,NA,NA,300,Palm Beach County,0.5
Loxahatchee River-Lake Worth Creek Aquatic Preserve,"Palm Beach, Martin",9000,26.97639,-80.13333,NA,NA,NA,57,"Florida Department of Enivironmental Protection, Office of Coastal and Aquatic Managed Areas",0
Loxahatchee Slough Natural Area,Palm Beach,10838.45,NA,NA,NA,NA,NA,398,Palm Beach County,0.5
Lucille Hammock,Miami-Dade,20.76,NA,NA,NA,NA,NA,289,Miami-Dade County,1
Ludlam Pineland,Miami-Dade,10.22,25.63501,-80.30404,23,55,40,254,Miami-Dade County,1
"Luis Martinez United States Army Reserve Station, Richmond Pine Rocklands",Miami-Dade,132,25.6124,-80.41309,NA,NA,NA,258,Miami-Dade,1
Manatee Park,Lee,16,NA,NA,NA,NA,NA,1,Lee County,0
Mangrove Preserve,Miami-Dade,848,25.48944,-80.34444,NA,NA,NA,114,Miami-Dade County Department of Parks and Recreation,1
Matanzas Pass Preserve,Lee,56,NA,NA,NA,NA,NA,79,Lee County,0.5
Matheson Hammock Park,Miami-Dade,629,25.67611,-80.26444,5,55,41,514,Miami-Dade County Department of Parks and Recreation,1
Meissner Hammock,Miami-Dade,10.32,25.48573,-80.51724,10,57,39,146,Miami-Dade County,1
Miami Metrozoo,Miami-Dade,740,25.61149,-80.39847,25,55,39,270,Miami-Dade County Department of Parks and Recreation,1
"Middle Torch Hammocks Anderson, Lipchak, 3112 Parcels, Florida Keys Wildlife and Environmental Area",Monroe (Keys),256.43,NA,NA,NA,NA,NA,132,Florida Fish and Wildlife Conservation Commission,0
"Middle Torch Hammocks Parcel 3063, Florida Keys Wildlife and Environmental Area",Monroe (Keys),28.48,NA,NA,NA,NA,NA,104,Florida Fish and Wildlife Conservation Commission,1
"Middle Torch Hammocks Parcels 3065/3109, Florida Keys Wildlife and Environmental Area",Monroe (Keys),76,24.68692,-81.4091,NA,NA,NA,99,Florida Fish and Wildlife Conservation Commission,1
Military Trail Natural Area,Broward,19.92,NA,NA,NA,NA,NA,170,Broward County,1
Milton E. Thompson Park,Miami-Dade,618,NA,NA,NA,NA,NA,201,Miami-Dade County Department of Parks and Recreation,1
Model Lands Basin,Miami-Dade,30000,NA,NA,NA,NA,NA,1,South Florida Water Management District,0
Mound Key Archaeological State Park,Lee,168.86,26.42167,-81.86417,NA,NA,NA,150,"Florida Department of Environmental Protection, Division of Recreation and Parks",1
Muscara,Martin,13,27.25,-80.195,13,37,41,153,Martin County,1
Nancy Payton Preserve,Collier,NA,NA,NA,NA,NA,NA,147,Conservation Collier,0
National Key Deer Refuge,Monroe (Keys),8649.34,24.70833,-81.4375,NA,NA,NA,528,United States Fish and Wildlife Service,1
Navy Wells Pineland,Miami-Dade,353.17,25.43619,-80.5057,26,57,38,383,Miami-Dade County Department of Parks and Recreation,1
Navy Wells Pineland 23,Miami-Dade,18.61,NA,NA,NA,NA,NA,204,Miami-Dade County,1
Navy Wells Pineland 39,Miami-Dade,8.19,25.45665,-80.51807,28,57,38,107,Miami-Dade County,0
Ned Glenn Nature Preserve,Miami-Dade,11,25.5915,-80.33349,4,56,40,257,Miami-Dade County Department of Parks and Recreation,1
Nicodemus Slough,Glades,2219,26.92111,-81.20528,NA,NA,NA,258,South Florida Water Management District,1
Nixon Smiley Pineland Addition,Miami-Dade,66.7,25.65076,-80.40152,14,55,39,276,Miami-Dade County,1
Nixon Smiley Pineland Preserve,Miami-Dade,120,25.64972,-80.40833,14,55,39,274,Miami-Dade County Department of Parks and Recreation,1
Northrop Pineland,Miami-Dade,12,25.48961,-80.52565,NA,NA,NA,108,Miami-Dade County,0
Oak Grove Park,Miami-Dade,21.71,25.91944,-80.18694,NA,NA,NA,56,Miami-Dade County Department of Parks and Recreation,1
Ocean Ridge Hammock Park,Palm Beach,11,NA,NA,NA,NA,NA,159,Palm Beach County Parks and Recreation Department,0
"Okaloacoochee Slough State Forest, Okaloacoochee Slough Wildlife Management Area","Collier, Hendry",32000,NA,NA,NA,NA,NA,321,Florida Department of Forestry,1
"Okaloacoochee Slough Wildlife Management Area - FWC, Okaloacoochee Slough Wildlife Management Area","Collier, Hendry",2923.45,NA,NA,NA,NA,NA,265,Florida Fish and Wildlife Conservation Commission,1
Okeeheelee Park,Palm Beach,900,26.65889,-80.16694,NA,NA,NA,101,Palm Beach County,0.5
Oleta River Corridor Tract C,Miami-Dade,2.51,NA,NA,NA,NA,NA,78,Miami-Dade County,0
Oleta River State Park,Miami-Dade,1032.84,25.91944,-80.14028,NA,NA,NA,255,"Florida Department of Environmental Protection, Division of Recreation and Parks",1
Oxbow Park,Martin,8,NA,NA,NA,NA,NA,2,Martin County,0
Palm City Park,Martin,56,NA,NA,NA,NA,NA,1,Martin County,0
Palm Drive Pineland,Miami-Dade,20,25.44858,-80.54097,21,57,38,218,Miami-Dade County,1
Pal-Mar,"Martin, Palm Beach",10307,NA,NA,NA,NA,NA,370,South Florida Water Management District,1
Pal-Mar Natural Area,Palm Beach,7343.05,NA,NA,NA,NA,NA,171,Palm Beach County,0.5
Peck Lake Park,Martin,70,NA,NA,4,39,42,290,Martin County,1
Pendarvis Cove Park,Martin,44,NA,NA,NA,NA,NA,1,Martin County,0
Phipps Park,Martin,14,NA,NA,NA,NA,NA,2,Martin County,0
Picayune Strand State Forest,Collier,65435.79,NA,NA,NA,NA,NA,470,"Florida Department of Agriculture and Consumer Services, Division of Forestry",1
Pine Island National Wildlife Refuge,Lee,602.24,26.66278,-82.225,NA,NA,NA,28,United States Fish and Wildlife Service,0
Pine Island Ridge Natural Area,Broward,101,NA,NA,NA,NA,NA,267,Broward County,0
Pine Ridge Sanctuary,Miami-Dade,14,25.48858,-80.54097,NA,NA,NA,189,Glancy's,1
Pine Shore Preserve,Miami-Dade,7.82,25.65,-80.37417,18,55,40,239,Miami-Dade County Department of Parks and Recreation,1
Pond Apple Slough,Broward,200,NA,NA,NA,NA,NA,224,Broward County,0.5
Pond Cypress Natural Area,Palm Beach,1538,NA,NA,NA,NA,NA,28,Palm Beach County,0.5
Porter-Russell Pineland,Miami-Dade,2,25.56022,-80.39354,13,56,39,233,Tropical Audubon Society,1
Prairie Pines Preserve,Lee,2709,NA,NA,NA,NA,NA,504,Lee County,1
Prospect Road Natural Area,Broward,6.16,NA,NA,NA,NA,NA,134,City of Fort Lauderdale,0
Quail Roost Pineland,Miami-Dade,48.54,25.57307,-80.42686,NA,NA,NA,316,Miami-Dade County,1
R. Hardy Matheson Preserve,Miami-Dade,823,25.66102404,-80.27392387,7,55,41,337,Miami-Dade County Department of Parks and Recreation,1
Radnor Beach Park,Palm Beach,153.7,26.899,-80.059,NA,NA,NA,28,Palm Beach County,0
Railhead Scrub Preserve,Collier,NA,NA,NA,NA,NA,NA,233,Collier County,1
"Ramrod Hammocks, Florida Keys Wildlife and Environmental Area",Monroe (Keys),49.7,NA,NA,NA,NA,NA,145,Florida Fish and Wildlife Conservation Commission,1
Red Reef Park,Palm Beach,100,26.362,-80.07,NA,NA,NA,182,City of Boca Raton,0.5
Riverbend Park,Palm Beach,888.37,26.92889,-80.18056,NA,NA,NA,134,Palm Beach County Department of Parks and Recreation,1
Rock Pit 34,Miami-Dade,5,NA,NA,NA,NA,NA,56,Miami-Dade County,1
Rock Pit 39,Miami-Dade,7,25.45397,-80.50338,23,57,38,231,Miami-Dade County,1
Rockdale Pineland,Miami-Dade,37.07,25.63481,-80.34043,21,55,40,316,Miami-Dade County Department of Parks and Recreation,1
Rocky Point Hammock,Martin,14.96,NA,NA,19,38,42,266,Martin County,1
Rolling Oaks Park,Miami-Dade,33.5,25.94417,-80.2275,NA,NA,NA,67,Miami-Dade County Department of Parks and Recreation,1
Ron Ehman Park,Miami-Dade,14.6,25.66667,-80.35,9,55,40,183,Miami-Dade County Department of Parks and Recreation,1
Rookery Bay National Estuarine Research Reserve,Collier,83107,NA,NA,NA,NA,NA,522,"Florida Department of Environmental Protection, Office of Coastal and Aquatic Managed areas",0
Rosemary Ridge Preserve,Palm Beach,7.29,NA,NA,NA,NA,NA,79,City of Boca Raton,0
Rosemary Scrub Natural Area,Palm Beach,13.59,NA,NA,NA,NA,NA,187,Palm Beach County,0.5
Ross Hammock,Miami-Dade,11.52,NA,NA,NA,NA,NA,2,Miami-Dade County,0
Rotenberger Wildlife Management Area,"Broward, Palm Beach",28775,NA,NA,NA,NA,NA,44,Florida Fish and Wildlife Conservation Commission,0.5
Royal Palm Beach Pines Natural Area,Palm Beach,747.23,26.64,-80.16444,NA,NA,NA,364,Palm Beach County,0.5
Sanibel-Captiva Conservation Foundation,Lee,1100,NA,NA,NA,NA,NA,3,Sanibel-Captiva Conservation Foundation,0
Sanibel-Captiva Conservation Foundation Frannie's,Lee,167,NA,NA,NA,NA,NA,16,Sanibel-Captiva Conservation Foundation,0
Sanibel-Captiva Conservation Foundation Gulf Ridge,Lee,30.1,NA,NA,NA,NA,NA,2,Sanibel-Captiva Conservation Foundation,0
Sanibel-Captiva Conservation Foundation Johnston,Lee,77.41,NA,NA,NA,NA,NA,3,Sanibel-Captiva Conservation Foundation,0
Santa Lucea,Martin,11.7,NA,NA,NA,NA,NA,144,Martin County,1
Scrub Oak Park,Martin,21.45,27.108,-80.167,34,38,42,186,Martin County,1
Sea Oats Beach,Monroe (Keys),1.03,NA,NA,NA,NA,NA,1,The Nature Conservancy,0
Seabranch Preserve State Park,Martin,918.78,NA,NA,NA,NA,NA,451,"Florida Department of Environmental Protection, Division of Recreation and Parks",1
Seacrest Scrub Natural Area,Palm Beach,53.69,NA,NA,NA,NA,NA,192,Palm Beach County,0.5
Secret Woods Buffer and Nature Center,Broward,74,26.08778,-80.17944,NA,NA,NA,208,Broward County,1
Seminole Wayside Park,Miami-Dade,27.71,25.48833,-80.45417,8,57,39,190,Miami-Dade County Department of Parks and Recreation,1
Serenoa Glade Preserve,Palm Beach,9,NA,NA,NA,NA,NA,55,City of Boca Raton,0
Sewell Park,Miami-Dade,5,NA,NA,NA,NA,NA,145,City of Miami,1
Shell Creek Preserve,Charlotte,370,NA,NA,NA,NA,NA,1,Charlotte County,0
Silver Palm Groves,Miami-Dade,20.36,25.55211,-80.41694,15,56,39,263,Miami-Dade County,1
Silver Palm Hammock,Miami-Dade,10,25.555706,-80.432326,NA,NA,NA,142,Miami-Dade County Department of Parks and Recreation,1
Simpson Park,Miami-Dade,8.5,25.75833,-80.19639,12,54,41,180,Miami-Dade County Department of Parks and Recreation,1
Six Mile Cypress Slough Preserve,Lee,2089.51,26.601,-80.199,NA,NA,NA,457,Lee County,1
"Snake Creek Hammocks, Florida Keys Wildlife and Environmental Area",Monroe (Keys),75.3,24.952,-80.583,NA,NA,NA,169,Florida Fish and Wildlife Conservation Commission,1
Snake Creek/Miramar Pineland Natural Area,Broward,97.6,NA,NA,NA,NA,NA,183,Broward County,0.5
South Beach Park,Palm Beach,40,26.352,-80.179,NA,NA,NA,111,City of Boca Raton,0
South Dade Wetlands,Miami-Dade,4247.8,NA,NA,NA,NA,NA,210,Miami-Dade County,0
South Inlet Park,Palm Beach,10.9,NA,NA,NA,NA,NA,1,Palm Beach County Parks and Recreation Department,0
Southern Glades,Miami-Dade,32299,NA,NA,NA,NA,NA,90,Florida Fish and Wildlife Conservation Commission,1
Spanish River Park,Palm Beach,94.4,26.38083,-80.06861,NA,NA,NA,52,City of Boca Raton,0
"Spoonbill Sound Hammocks, Florida Keys Wildlife and Environmental Area",Monroe (Keys),26.21,2466289,-81.48851,NA,NA,NA,144,Florida Fish and Wildlife Conservation Commission,1
St. James Creek Preserve,Lee,118,NA,NA,NA,NA,NA,1,Lee County Parks and Recreation and Calusa Land Trust,0
St. Lucie Inlet Preserve State Park,Martin,4834.65,27.145,-80.15472,NA,NA,NA,163,"Florida Department of Environmental Protection, Division of Recreation and Parks",1
"Stirrup Cut Hammock, Florida Keys Wildlife and Environmental Area",Monroe (Keys),NA,NA,NA,NA,NA,NA,105,Florida Fish and Wildlife Conservation Commission,1
Stuart Beach Park,Martin,79,27.21522,-80.17801,NA,NA,NA,25,Martin County,0
Stump Pass Beach State Park,Charlotte,230.99,26.90556,-82.34639,NA,NA,NA,142,"Florida Department of Environmental Protection, Division of Recreation and Parks",1
"Sugarloaf Hammocks, Florida Keys Wildlife and Environmental Area",Monroe (Keys),1171,NA,NA,NA,NA,NA,201,Florida Fish and Wildlife Conservation Commission,0
Sunny Palms Pineland,Miami-Dade,40.77,25.42439,-80.51941,34,57,38,270,Miami-Dade County Department of Environmental Resources Management Natural Resources Division,1
